"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"1";"";"ESP-12";"ESP-12";"X1";"";"";"";"";"";"";
"1";"";"JST_2MM_MALE";"JST-2-SMD";"J1";"Mates to single-cell LiPo batteries.";"";"";"";"";"CONN-08352";
"1";"";"LEDCHARLIE";"CHIPLED_0603_CHARLIE";"CHARGE";"LED";"";"";"";"";"";
"2";"";"SWITCH-MOMENTARY-2-SMD-1101NE";"TACTILE-SWITCH-1101NE";"SW_C, SW_RST";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";
"1";"100";"4R-N0603-ARC";"0603-ARC";"RR";"Array Chip Resistor";"";"";"unknown";"unknown";"";
"1";"100k";"R-EU_ONEFITSALL";"ONEFITSALL";"R7";"RESISTOR, European symbol";"";"";"";"";"";
"3";"100nF";"C-EUONEFITSALL";"ONEFITSALL";"C9, C10, C11";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"10k";"4R-N0603-ARC";"0603-ARC";"RB1, RPU";"Array Chip Resistor";"";"";"unknown";"unknown";"";
"5";"10k";"R-EU_ONEFITSALL";"ONEFITSALL";"R1, R8, R12, R13, R14";"RESISTOR, European symbol";"";"";"";"";"";
"1";"12MHz";"XTAL-4BIGGER";"NX3225_BIGGER";"Q1";"Classic 4-pin 3.2 x 2.5mm crystal";"";"";"";"";"";
"2";"150";"4R-N0603-ARC";"0603-ARC";"RB, RG";"Array Chip Resistor";"";"";"unknown";"unknown";"";
"4";"1uF";"C-EUONEFITSALL";"ONEFITSALL";"C1, C2, C3, C4";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"22pF";"C-EUONEFITSALL";"ONEFITSALL";"C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"2k";"R-EU_ONEFITSALL";"ONEFITSALL";"R10";"RESISTOR, European symbol";"";"";"";"";"";
"1";"330k";"R-EU_ONEFITSALL";"ONEFITSALL";"R6";"RESISTOR, European symbol";"";"";"";"";"";
"2";"4.7uF";"C-EUONEFITSALL";"ONEFITSALL";"C7, C8";"CAPACITOR, European symbol";"";"";"";"";"";
"4";"470";"R-EU_ONEFITSALL";"ONEFITSALL";"R2, R3, R9, R11";"RESISTOR, European symbol";"";"";"";"";"";
"2";"4k7";"R-EU_ONEFITSALL";"ONEFITSALL";"R4, R5";"RESISTOR, European symbol";"";"";"";"";"";
"1";"AP2112KAP2112K";"AP2112KAP2112K";"AP2112";"U$9";"";"";"";"";"";"";
"1";"ATTINY13SO08-WIDE";"ATTINY13SO08-WIDE";"SO08-EIAJ";"U$2";"Atmel 8-pin 1kB flash uC";"";"";"";"";"";
"1";"AVR_SPI_PRG_6";"AVR_SPI_PRG_6";"2X3_SMD_PAD";"JP2";"AVR ISP 6 Pin";"";"";"";"";"";
"3";"BC847S";"MMDT3904";"SOT363";"U$3, U$6, U$7";"Dual NPN transistor";"";"";"";"";"";
"1";"CH340GCH340G";"CH340GCH340G";"SOIC16";"CH340G";"USB to TTL RS232 converter";"";"";"";"";"";
"4";"GM1WA55311A";"GM1WA55311A";"GM1WA55311A";"LED1, LED2, LED3, LED4";"Chip LED RGB";"";"";"";"";"";
"1";"I2C_GROVE";"I2C_GROVE";"I2C_GROVE";"U$10";"";"";"";"";"";"";
"1";"LPH-7366-SLOTS";"LPH-7366-SLOTS";"LPH-7366-SLOTS";"U$1";"";"";"";"";"";"";
"1";"MCP73831";"MCP73831/OT";"SOT23-5L";"IC3";"MCP73831/2";"";"";"";"";"";
"1";"PCF8574T";"PCF8574T";"SO16W";"IC1";"I2C-Bus Remote 8-bit I/O expander";"";"PCF8574T/3,512";"1201255";"70R6870";"";
"1";"PTCSMD";"PTCSMD";"PTC-1206";"F1";"Resettable Fuse PTC";"";"";"";"";"RES-11150";
"1";"PWR";"SWITCH-SPDT-SMD-A";"SWITCH-SPST-SMD-A";"S2";"SPDT Switch";"";"";"";"";"";
"6";"SWITCH-MOMENTARY-2SMD-4";"SWITCH-MOMENTARY-2SMD-4";"TACTILE_SWITCH_TALL";"S3, S4, S5, S6, S7, S8";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"SWCH-11966";
"1";"TPS2113-PW";"TPS2113-PW";"TEXAS-PW";"U$4";"";"";"";"";"";"";
"1";"USB_MICROB_PLUG-IDK";"USB_MICROB_PLUG-IDK";"USB-AB-MICRO-SMD_SLOT";"JP1";"USB Micro-B connectors";"";"";"";"";"";
"1";"USD-SOCKETMICROSDEBAY";"USD-SOCKETMICROSDEBAY";"MICRO-SD-SOCKET-EBAY";"U1";"microSD Socket";"";"";"";"";"";
